2019-12-19 13:55:39,467 日志 INFO 
 1,你已登录成功
2019-12-19 13:55:43,975 日志 INFO 进行了查询余额 256.000000
2019-12-19 13:59:58,125 日志 INFO 
 1,你已登录成功
2019-12-19 14:00:03,672 日志 INFO 进行了查询余额 256.000000
2019-12-19 14:00:13,609 日志 INFO 进行了查询余额 244.000000
2019-12-19 14:03:13,628 日志 INFO 
 1,你已登录成功
2019-12-19 14:03:15,386 日志 INFO 进行了查询余额 256.000000
2019-12-19 14:05:10,188 日志 INFO 
 1,你已登录成功
2019-12-19 14:05:14,081 日志 INFO 1 存了 100.000000
2019-12-19 14:05:29,914 日志 INFO 交易类型 withdraw，交易金额100.000000，交易账号1
2019-12-19 14:05:29,914 日志 INFO 交易类型 withdraw，交易金额100.000000，交易账号1
2019-12-19 14:05:54,378 日志 INFO 
 1,你已登录成功
2019-12-19 14:05:59,265 日志 INFO 交易类型 withdraw，交易金额200.000000，交易账号1
2019-12-19 14:06:05,252 日志 INFO 进行了查询余额 156.000000
2019-12-19 15:37:26,833 日志 INFO 
 1,你已登录成功
2019-12-19 15:37:30,767 日志 INFO 交易类型 withdraw，交易金额12.000000，交易账号1
2019-12-19 15:56:48,447 日志 INFO 
 1,你已登录成功
2019-12-19 15:56:51,715 日志 INFO 进行了查询余额 356.000000
2019-12-19 15:57:19,329 日志 INFO 
 1,你已登录成功
2019-12-19 15:57:21,102 日志 INFO 进行了查询余额 356.000000
2019-12-19 15:57:36,574 日志 INFO 交易类型 withdraw，交易金额0.00，交易账号1
2019-12-19 15:57:55,110 日志 INFO 交易类型 withdraw，交易金额312.00，交易账号1
2019-12-19 15:59:53,131 日志 INFO 
 1,你已登录成功
2019-12-19 16:08:51,349 日志 INFO 
 1,你已登录成功
2019-12-19 16:08:55,478 日志 INFO 进行了查询余额 356.000000
2019-12-19 16:09:01,318 日志 INFO 交易类型 withdraw，交易金额222.00，交易账号1
2019-12-19 16:09:24,879 日志 INFO 进行了查询余额 122.900000
2019-12-19 16:31:49,349 日志 INFO 
 1,你已登录成功
2019-12-19 16:31:50,951 日志 INFO 进行了查询余额 122.900000
2019-12-19 16:32:04,071 日志 INFO 交易类型 withdraw，交易金额100.00，交易账号1
2019-12-19 16:32:09,560 日志 INFO 进行了查询余额 22.850000
2019-12-19 16:32:15,011 日志 INFO 交易类型 withdraw，交易金额10.00，交易账号1
2019-12-19 16:42:41,952 日志 INFO 注册成功，欢迎 111
2019-12-19 16:59:12,633 日志 INFO 
 1,你已登录成功
2019-12-19 16:59:25,697 日志 INFO 交易类型 withdraw，交易金额1.00，交易账号1
2019-12-19 17:00:55,328 日志 INFO 
 1,你已登录成功
2019-12-19 17:01:04,808 日志 INFO 交易类型 withdraw，交易金额10.00，交易账号1
2019-12-19 17:01:04,809 日志 INFO 交易类型 deposit，交易金额10.00，交易账号111
2019-12-19 17:09:34,126 日志 INFO 
 1,你已登录成功
2019-12-19 17:09:35,556 日志 INFO 进行了查询余额 1.700000
2019-12-19 17:18:28,141 日志 INFO 
 1,你已登录成功
2019-12-19 17:18:33,616 日志 INFO 交易类型 query，交易金额0.00，交易账号1
2019-12-19 17:19:50,430 日志 INFO 
 1,你已登录成功
2019-12-19 17:19:51,688 日志 INFO 交易类型 query，交易金额0.00，交易账号1
2019-12-19 17:20:54,073 日志 INFO 交易类型 deposit，交易金额100.00，交易账号1
2019-12-19 17:21:21,637 日志 INFO 交易类型 withdraw，交易金额30.00，交易账号1
2019-12-19 17:23:30,467 日志 INFO 
 1,你已登录成功
2019-12-19 17:55:27,275 transaction INFO 
 1,你已登录成功
2019-12-19 17:59:49,051>access>INFO>1,你已登录成功
2019-12-19 17:59:57,750>transaction>INFO>交易类型 query，交易金额0.00，交易账号1
